LogEntry{timestamp=2024-01-01T00:05:48.427, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_6868'}
LogEntry{timestamp=2024-01-01T00:34:26.494, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_1951'}
LogEntry{timestamp=2024-01-01T01:14:29.304, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_5610'}
LogEntry{timestamp=2024-01-01T00:05:05.694, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_2135'}
LogEntry{timestamp=2024-01-01T02:05:19.140, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_5995'}
LogEntry{timestamp=2024-01-01T01:37:22.539, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_8794'}
LogEntry{timestamp=2024-01-01T02:25:44.085, level='ERROR', service='com.example.InventoryService', message='Authentication failed - user: user_8831'}
LogEntry{timestamp=2024-01-01T05:50:08.461, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_9484'}
LogEntry{timestamp=2024-01-01T02:46:49.470, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_8130'}
LogEntry{timestamp=2024-01-01T06:13:01.520, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_5472'}
LogEntry{timestamp=2024-01-01T10:29:45.280, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_8416'}
LogEntry{timestamp=2024-01-01T05:14:02.838, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_7364'}
LogEntry{timestamp=2024-01-01T13:19:25.432, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_3885'}
LogEntry{timestamp=2024-01-01T12:21:50.829, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_8133'}
LogEntry{timestamp=2024-01-01T10:42:41.184, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_3288'}
LogEntry{timestamp=2024-01-01T01:34:55.440, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_7000'}
LogEntry{timestamp=2024-01-01T01:23:29.960, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_4357'}
LogEntry{timestamp=2024-01-01T01:55:47.289, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_4769'}
LogEntry{timestamp=2024-01-01T14:07:30.886, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_8195'}
LogEntry{timestamp=2024-01-01T22:14:09.600, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_5717'}
LogEntry{timestamp=2024-01-01T05:58:27.534, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_4819'}
LogEntry{timestamp=2024-01-01T15:01:14.235, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_3052'}
LogEntry{timestamp=2024-01-01T01:31:37.127, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_9278'}
LogEntry{timestamp=2024-01-01T09:49:40.152, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_2721'}
LogEntry{timestamp=2024-01-01T13:48:55.098, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_8772'}
LogEntry{timestamp=2024-01-01T14:54:03.200, level='ERROR', service='com.example.AuthService', message='Authentication failed - user: user_7126'}
LogEntry{timestamp=2024-01-01T15:06:45.565, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_8644'}
LogEntry{timestamp=2024-01-01T06:32:25.136, level='ERROR', service='com.example.PaymentService', message='Authentication failed - user: user_6441'}
LogEntry{timestamp=2024-01-02T02:03:29.430, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_1389'}
LogEntry{timestamp=2024-01-02T05:02:17.624, level='ERROR', service='com.example.CustomerService', message='Authentication failed - user: user_7833'}
LogEntry{timestamp=2024-01-01T23:28:24.546, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_9804'}
LogEntry{timestamp=2024-01-01T12:42:21.528, level='ERROR', service='com.example.ShippingService', message='Authentication failed - user: user_3605'}
LogEntry{timestamp=2024-01-02T01:33:53.866, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_6626'}
LogEntry{timestamp=2024-01-01T23:24:58.056, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_3207'}
LogEntry{timestamp=2024-01-02T03:29:52.278, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_4264'}
LogEntry{timestamp=2024-01-01T14:00:42.518, level='ERROR', service='com.example.NotificationService', message='Authentication failed - user: user_4745'}
LogEntry{timestamp=2024-01-02T13:34:12.611, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_8170'}
LogEntry{timestamp=2024-01-02T08:35:22.536, level='ERROR', service='com.example.ReportService', message='Authentication failed - user: user_1908'}
LogEntry{timestamp=2024-01-02T11:43:19.834, level='ERROR', service='com.example.UserService', message='Authentication failed - user: user_8742'}
LogEntry{timestamp=2024-01-01T05:57:24.185, level='ERROR', service='com.example.OrderService', message='Authentication failed - user: user_3930'}
LogEntry{timestamp=2024-01-01T04:25:44.500, level='ERROR', service='com.example.DatabaseService', message='Authentication failed - user: user_9727'}
